status,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/loss,train/dqn_loss,train/learning_rate,train/cql_loss
-1.0,63211,12703,0.05,221,4,141.384698,72.0,62210,12.632949829101562,11.960267066955566,0.0001,0.6726828813552856
1.0,63322,12726,0.05,222,4,414.695407,111.0,62321,15.850576400756836,15.226253509521484,0.0001,0.6243225932121277
-1.0,63436,12749,0.05,223,4,133.988524,114.0,62435,8.227814674377441,7.536956310272217,0.0001,0.6908587217330933
-1.0,63523,12766,0.05,224,4,267.882315,87.0,62522,12.64101791381836,12.01290512084961,0.0001,0.6281130313873291
1.0,63621,12786,0.05,225,4,637.608249,98.0,62620,13.517387390136719,13.024947166442871,0.0001,0.49244022369384766
-1.0,63728,12808,0.05,226,4,231.958113,107.0,62727,12.441287994384766,12.0172119140625,0.0001,0.4240759313106537
-1.0,63818,12826,0.05,227,4,86.655901,90.0,62817,10.567082405090332,9.827402114868164,0.0001,0.7396801710128784
-1.0,63860,12835,0.05,228,4,-155.820736,42.0,62859,11.168147087097168,10.615511894226074,0.0001,0.5526349544525146
1.0,63912,12845,0.05,229,4,377.032883,52.0,62911,15.371858596801758,14.796555519104004,0.0001,0.5753033757209778
1.0,63983,12860,0.05,230,4,570.932182,71.0,62982,12.872368812561035,12.407658576965332,0.0001,0.4647098481655121
-1.0,64133,12890,0.05,231,4,280.976492,150.0,63132,13.510526657104492,12.883499145507812,0.0001,0.6270278692245483
-1.0,64136,12891,0.05,232,4,-210.202883,3.0,63135,12.865837097167969,12.228708267211914,0.0001,0.6371291875839233
-1.0,64225,12909,0.05,233,4,-12.199637,89.0,63224,12.027569770812988,11.43448543548584,0.0001,0.5930845737457275
-1.0,64339,12932,0.05,234,4,29.539391,114.0,63338,15.207670211791992,14.622157096862793,0.0001,0.5855132341384888
1.0,64451,12954,0.05,235,4,650.781493,112.0,63450,11.35761547088623,10.781187057495117,0.0001,0.5764287710189819
1.0,64500,12964,0.05,236,4,452.792171,49.0,63499,11.29553508758545,10.59645938873291,0.0001,0.6990752816200256
-1.0,64549,12974,0.05,237,4,64.469391,49.0,63548,17.782012939453125,17.130861282348633,0.0001,0.6511524319648743
1.0,64665,12998,0.05,238,4,761.435062,116.0,63664,17.753549575805664,17.237581253051758,0.0001,0.5159685015678406
1.0,64714,13008,0.05,239,4,366.711369,49.0,63713,13.103084564208984,12.265413284301758,0.0001,0.8376717567443848
-1.0,64732,13012,0.05,240,4,-108.621575,18.0,63731,8.856816291809082,8.205282211303711,0.0001,0.6515343189239502
-1.0,64820,13030,0.05,241,4,52.566005,88.0,63819,12.785269737243652,12.123392105102539,0.0001,0.6618777513504028
-1.0,64827,13031,0.05,242,4,-187.914871,7.0,63826,10.181001663208008,9.374605178833008,0.0001,0.8063969612121582
-1.0,64965,13059,0.05,243,4,240.171345,138.0,63964,8.47675609588623,7.908392906188965,0.0001,0.5683635473251343
1.0,65040,13074,0.05,244,4,594.220072,75.0,64039,8.210140228271484,7.675815105438232,0.0001,0.534325361251831
1.0,65193,13105,0.05,245,4,734.154457,153.0,64192,12.577484130859375,12.088852882385254,0.0001,0.4886314272880554
-1.0,65200,13107,0.05,246,4,-196.081256,7.0,64199,11.603974342346191,11.017974853515625,0.0001,0.5859998464584351
-1.0,65212,13109,0.05,247,4,-110.88822,12.0,64211,12.215503692626953,11.678850173950195,0.0001,0.5366531014442444
